paper1,paper2,cocitation_strength
https://openalex.org/W2597608082,https://openalex.org/W2803456993,5
https://openalex.org/W2805382151,https://openalex.org/W3005981547,5
https://openalex.org/W1992314144,https://openalex.org/W3194707655,5
https://openalex.org/W2107583208,https://openalex.org/W2568619829,5
https://openalex.org/W2472430800,https://openalex.org/W2789275349,5
https://openalex.org/W2099504029,https://openalex.org/W3011459318,5
https://openalex.org/W2797086257,https://openalex.org/W3194468518,5
https://openalex.org/W2099504029,https://openalex.org/W3184750000,5
https://openalex.org/W2409632422,https://openalex.org/W2803456993,5
https://openalex.org/W2162084786,https://openalex.org/W2567967956,5
https://openalex.org/W2568619829,https://openalex.org/W3023350488,5
https://openalex.org/W2805382151,https://openalex.org/W3119033176,5
https://openalex.org/W2132572134,https://openalex.org/W2597608082,5
https://openalex.org/W2132572134,https://openalex.org/W2292624613,5
https://openalex.org/W2567967956,https://openalex.org/W2803456993,5
https://openalex.org/W1971022314,https://openalex.org/W2797086257,5
https://openalex.org/W2162084786,https://openalex.org/W2214124115,4
https://openalex.org/W2767698603,https://openalex.org/W3023350488,4
https://openalex.org/W2326394492,https://openalex.org/W2567967956,4
https://openalex.org/W2567967956,https://openalex.org/W2919467037,4
https://openalex.org/W2214124115,https://openalex.org/W2596589504,4
https://openalex.org/W2107583208,https://openalex.org/W3194468518,4
https://openalex.org/W2567967956,https://openalex.org/W2574314595,4
https://openalex.org/W2129236002,https://openalex.org/W2789275349,4
https://openalex.org/W2797086257,https://openalex.org/W3023350488,4
https://openalex.org/W2567967956,https://openalex.org/W3184750000,4
https://openalex.org/W2094255732,https://openalex.org/W2574314595,4
https://openalex.org/W2162084786,https://openalex.org/W2574314595,4
https://openalex.org/W2007201594,https://openalex.org/W2099504029,4
https://openalex.org/W2554086314,https://openalex.org/W2767698603,4
https://openalex.org/W2568619829,https://openalex.org/W3005981547,4
https://openalex.org/W1971022314,https://openalex.org/W2574314595,4
https://openalex.org/W2107583208,https://openalex.org/W2789275349,4
https://openalex.org/W2107583208,https://openalex.org/W2578695135,4
https://openalex.org/W2007201594,https://openalex.org/W2404141049,4
https://openalex.org/W2094255732,https://openalex.org/W2597608082,4
https://openalex.org/W2094255732,https://openalex.org/W3005981547,4
https://openalex.org/W2574314595,https://openalex.org/W3023350488,4
https://openalex.org/W2515075153,https://openalex.org/W2568619829,4
https://openalex.org/W2767698603,https://openalex.org/W2810134117,4
https://openalex.org/W2597608082,https://openalex.org/W2797086257,4
https://openalex.org/W2132572134,https://openalex.org/W2162084786,4
https://openalex.org/W2574314595,https://openalex.org/W2805382151,4
https://openalex.org/W2099504029,https://openalex.org/W2578695135,4
https://openalex.org/W2567967956,https://openalex.org/W3005981547,4
https://openalex.org/W2162084786,https://openalex.org/W2597608082,4
https://openalex.org/W2326394492,https://openalex.org/W2803456993,4
https://openalex.org/W2326394492,https://openalex.org/W2810134117,4
https://openalex.org/W2404141049,https://openalex.org/W2409632422,4
https://openalex.org/W2567967956,https://openalex.org/W2596589504,4
https://openalex.org/W2132572134,https://openalex.org/W2810134117,4
https://openalex.org/W1971022314,https://openalex.org/W2007201594,4
https://openalex.org/W2129236002,https://openalex.org/W2162084786,4
https://openalex.org/W2094255732,https://openalex.org/W2129236002,4
https://openalex.org/W2472430800,https://openalex.org/W3119033176,3
https://openalex.org/W1971022314,https://openalex.org/W2515075153,3
https://openalex.org/W2214124115,https://openalex.org/W3011459318,3
https://openalex.org/W2129236002,https://openalex.org/W2567967956,3
https://openalex.org/W2472430800,https://openalex.org/W2797086257,3
https://openalex.org/W2129236002,https://openalex.org/W2597608082,3
https://openalex.org/W2099504029,https://openalex.org/W3008352878,3
https://openalex.org/W2129236002,https://openalex.org/W2568619829,3
https://openalex.org/W2132572134,https://openalex.org/W3023350488,3
https://openalex.org/W2558617245,https://openalex.org/W3005981547,3
https://openalex.org/W2574314595,https://openalex.org/W2810134117,3
https://openalex.org/W3005981547,https://openalex.org/W3194468518,3
https://openalex.org/W2107583208,https://openalex.org/W2596589504,3
https://openalex.org/W2162084786,https://openalex.org/W2409632422,3
https://openalex.org/W2597608082,https://openalex.org/W2810134117,3
https://openalex.org/W2107583208,https://openalex.org/W3184750000,3
https://openalex.org/W3023350488,https://openalex.org/W3184750000,3
https://openalex.org/W2007201594,https://openalex.org/W2558617245,3
https://openalex.org/W2132572134,https://openalex.org/W2326394492,3
https://openalex.org/W2132572134,https://openalex.org/W2567967956,3
https://openalex.org/W1971022314,https://openalex.org/W2404141049,3
https://openalex.org/W2805382151,https://openalex.org/W3184750000,3
https://openalex.org/W2007201594,https://openalex.org/W3005981547,3
https://openalex.org/W2567967956,https://openalex.org/W3032488597,3
https://openalex.org/W2515075153,https://openalex.org/W3008352878,3
