paper1,paper2,coupling_strength
https://openalex.org/W3184750000,https://openalex.org/W4213209390,7
https://openalex.org/W2007201594,https://openalex.org/W3082361867,7
https://openalex.org/W2162084786,https://openalex.org/W2568619829,7
https://openalex.org/W1971022314,https://openalex.org/W3119033176,7
https://openalex.org/W2597608082,https://openalex.org/W3082361867,7
https://openalex.org/W2107583208,https://openalex.org/W2515075153,6
https://openalex.org/W2404141049,https://openalex.org/W3008352878,6
https://openalex.org/W2094255732,https://openalex.org/W2810134117,6
https://openalex.org/W2107583208,https://openalex.org/W2578695135,6
https://openalex.org/W4283165077,https://openalex.org/W4409721497,6
https://openalex.org/W2107583208,https://openalex.org/W2292624613,6
https://openalex.org/W2404141049,https://openalex.org/W2797086257,6
https://openalex.org/W2797086257,https://openalex.org/W3194468518,6
https://openalex.org/W2919467037,https://openalex.org/W3005981547,6
https://openalex.org/W2292624613,https://openalex.org/W2404141049,6
https://openalex.org/W2803456993,https://openalex.org/W2919467037,6
https://openalex.org/W2567967956,https://openalex.org/W3082361867,6
https://openalex.org/W2567967956,https://openalex.org/W3119033176,6
https://openalex.org/W2810134117,https://openalex.org/W2919467037,6
https://openalex.org/W3023350488,https://openalex.org/W3194468518,6
https://openalex.org/W2162084786,https://openalex.org/W2409632422,6
https://openalex.org/W2162084786,https://openalex.org/W2797086257,6
https://openalex.org/W2409632422,https://openalex.org/W3184750000,6
https://openalex.org/W2409632422,https://openalex.org/W2805382151,6
https://openalex.org/W2558617245,https://openalex.org/W2578695135,6
https://openalex.org/W1971022314,https://openalex.org/W2162084786,6
https://openalex.org/W2417249256,https://openalex.org/W3008352878,6
https://openalex.org/W1971022314,https://openalex.org/W2007201594,6
https://openalex.org/W1971022314,https://openalex.org/W2574314595,6
https://openalex.org/W2094255732,https://openalex.org/W2567967956,6
https://openalex.org/W2515075153,https://openalex.org/W3119033176,6
https://openalex.org/W2409632422,https://openalex.org/W2567967956,6
https://openalex.org/W2597608082,https://openalex.org/W2810134117,6
https://openalex.org/W2214124115,https://openalex.org/W2326394492,5
https://openalex.org/W2567967956,https://openalex.org/W3023350488,5
https://openalex.org/W2568619829,https://openalex.org/W2596589504,5
https://openalex.org/W2568619829,https://openalex.org/W2803456993,5
https://openalex.org/W2094255732,https://openalex.org/W2162084786,5
https://openalex.org/W2797086257,https://openalex.org/W2919467037,5
https://openalex.org/W2417249256,https://openalex.org/W2515075153,5
https://openalex.org/W2099504029,https://openalex.org/W2567967956,5
https://openalex.org/W2472430800,https://openalex.org/W2919467037,5
https://openalex.org/W2803456993,https://openalex.org/W3194468518,5
https://openalex.org/W2132572134,https://openalex.org/W2162084786,5
https://openalex.org/W2214124115,https://openalex.org/W2292624613,5
https://openalex.org/W2099504029,https://openalex.org/W3023350488,5
https://openalex.org/W2094255732,https://openalex.org/W2409632422,5
https://openalex.org/W2919467037,https://openalex.org/W3023350488,5
https://openalex.org/W2515075153,https://openalex.org/W2568619829,5
https://openalex.org/W2094255732,https://openalex.org/W2597608082,5
https://openalex.org/W2099504029,https://openalex.org/W2805382151,5
https://openalex.org/W2132572134,https://openalex.org/W2409632422,5
https://openalex.org/W2578695135,https://openalex.org/W3119033176,5
https://openalex.org/W2292624613,https://openalex.org/W2919467037,5
https://openalex.org/W2554086314,https://openalex.org/W3023350488,5
https://openalex.org/W2292624613,https://openalex.org/W3008352878,5
https://openalex.org/W2404141049,https://openalex.org/W2574314595,5
https://openalex.org/W2094255732,https://openalex.org/W2578695135,5
https://openalex.org/W2107583208,https://openalex.org/W2214124115,5
https://openalex.org/W2094255732,https://openalex.org/W2404141049,5
https://openalex.org/W1971022314,https://openalex.org/W2515075153,5
https://openalex.org/W2409632422,https://openalex.org/W3023350488,5
https://openalex.org/W2107583208,https://openalex.org/W2810134117,5
https://openalex.org/W2417249256,https://openalex.org/W3119033176,5
https://openalex.org/W2767698603,https://openalex.org/W3184750000,5
https://openalex.org/W2099504029,https://openalex.org/W2515075153,5
https://openalex.org/W2326394492,https://openalex.org/W3005981547,5
https://openalex.org/W2567967956,https://openalex.org/W2805382151,5
https://openalex.org/W2214124115,https://openalex.org/W3119033176,5
https://openalex.org/W1971022314,https://openalex.org/W2797086257,5
https://openalex.org/W2567967956,https://openalex.org/W3005981547,5
https://openalex.org/W2515075153,https://openalex.org/W3092112515,5
https://openalex.org/W2326394492,https://openalex.org/W2404141049,5
https://openalex.org/W2094255732,https://openalex.org/W2129236002,4
https://openalex.org/W2472430800,https://openalex.org/W2797086257,4
https://openalex.org/W2292624613,https://openalex.org/W2797086257,4
https://openalex.org/W2162084786,https://openalex.org/W2810134117,4
https://openalex.org/W2767698603,https://openalex.org/W2810134117,4
https://openalex.org/W1971022314,https://openalex.org/W2094255732,4
https://openalex.org/W2417249256,https://openalex.org/W2810134117,4
https://openalex.org/W2574314595,https://openalex.org/W2803456993,4
https://openalex.org/W2129236002,https://openalex.org/W2797086257,4
https://openalex.org/W2326394492,https://openalex.org/W3194468518,4
https://openalex.org/W2214124115,https://openalex.org/W2404141049,4
https://openalex.org/W2326394492,https://openalex.org/W2810134117,4
https://openalex.org/W3194707655,https://openalex.org/W4409721497,4
https://openalex.org/W2797086257,https://openalex.org/W3092112515,4
https://openalex.org/W2404141049,https://openalex.org/W2805382151,4
https://openalex.org/W2596589504,https://openalex.org/W3119033176,4
https://openalex.org/W2129236002,https://openalex.org/W2292624613,4
https://openalex.org/W1971022314,https://openalex.org/W3005981547,4
https://openalex.org/W2214124115,https://openalex.org/W2515075153,4
https://openalex.org/W2099504029,https://openalex.org/W3184750000,4
https://openalex.org/W2107583208,https://openalex.org/W2567967956,4
https://openalex.org/W1971022314,https://openalex.org/W3082361867,4
https://openalex.org/W1971022314,https://openalex.org/W2597608082,4
https://openalex.org/W2805382151,https://openalex.org/W3005981547,4
https://openalex.org/W2596589504,https://openalex.org/W3008352878,4
https://openalex.org/W2515075153,https://openalex.org/W2789275349,4
https://openalex.org/W2404141049,https://openalex.org/W2789275349,4
https://openalex.org/W2326394492,https://openalex.org/W2472430800,4
https://openalex.org/W2129236002,https://openalex.org/W3008352878,4
https://openalex.org/W2578695135,https://openalex.org/W2597608082,4
https://openalex.org/W2567967956,https://openalex.org/W2919467037,4
https://openalex.org/W2107583208,https://openalex.org/W2558617245,4
https://openalex.org/W2107583208,https://openalex.org/W2417249256,4
https://openalex.org/W2099504029,https://openalex.org/W3011459318,4
https://openalex.org/W2326394492,https://openalex.org/W2515075153,4
https://openalex.org/W2129236002,https://openalex.org/W2515075153,4
https://openalex.org/W2107583208,https://openalex.org/W2326394492,4
https://openalex.org/W1971022314,https://openalex.org/W2292624613,4
https://openalex.org/W3032488597,https://openalex.org/W3184750000,4
https://openalex.org/W2162084786,https://openalex.org/W2515075153,4
https://openalex.org/W2417249256,https://openalex.org/W4297924435,4
https://openalex.org/W2767698603,https://openalex.org/W2805382151,4
https://openalex.org/W2404141049,https://openalex.org/W2409632422,4
https://openalex.org/W2162084786,https://openalex.org/W2292624613,4
https://openalex.org/W2094255732,https://openalex.org/W2568619829,4
https://openalex.org/W2007201594,https://openalex.org/W2578695135,4
https://openalex.org/W3008406854,https://openalex.org/W3119033176,4
https://openalex.org/W2094255732,https://openalex.org/W2132572134,4
https://openalex.org/W2214124115,https://openalex.org/W3005981547,4
https://openalex.org/W3011459318,https://openalex.org/W3119033176,4
https://openalex.org/W3032488597,https://openalex.org/W3119033176,4
https://openalex.org/W2214124115,https://openalex.org/W3194468518,3
https://openalex.org/W2214124115,https://openalex.org/W2797086257,3
https://openalex.org/W2099504029,https://openalex.org/W2472430800,3
https://openalex.org/W3194707655,https://openalex.org/W4283165077,3
https://openalex.org/W3008406854,https://openalex.org/W3194468518,3
https://openalex.org/W3008352878,https://openalex.org/W3023350488,3
https://openalex.org/W3005981547,https://openalex.org/W3011459318,3
https://openalex.org/W2810134117,https://openalex.org/W3032488597,3
https://openalex.org/W2132572134,https://openalex.org/W2797086257,3
